trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount
2016-03-15,399300.SZ,3074.78,3061.343,3077.085,3028.578,3065.69,9.09,0.2965,98311941.0,101302845.698
2016-03-16,399300.SZ,3090.033,3068.866,3100.352,3064.521,3074.78,15.253,0.4961,124736448.0,126128854.001
2016-03-17,399300.SZ,3124.204,3096.808,3147.841,3077.572,3090.033,34.171,1.1058,121661777.0,136603715.775
2016-03-18,399300.SZ,3171.963,3136.223,3197.668,3130.102,3124.204,47.759,1.5287,197302564.0,210017810.346
2016-03-21,399300.SZ,3249.437,3203.293,3267.775,3198.361,3171.963,77.474,2.4425,233269464.0,256836636.273
2016-03-22,399300.SZ,3225.79,3231.615,3249.677,3218.728,3249.437,-23.647,-0.7277,161020897.0,194211982.989
2016-03-23,399300.SZ,3236.092,3217.729,3242.247,3202.976,3225.79,10.302,0.3194,125679286.0,155567074.583
2016-03-24,399300.SZ,3181.851,3211.496,3221.906,3181.813,3236.092,-54.241,-1.6761,133131122.0,162436036.415
2016-03-25,399300.SZ,3197.817,3176.81,3204.442,3174.318,3181.851,15.966,0.5018,97395330.0,115195604.431
2016-03-28,399300.SZ,3169.728,3206.953,3229.624,3161.878,3197.817,-28.089,-0.8784,103441933.0,123844044.128
2016-03-29,399300.SZ,3135.41,3171.314,3178.075,3122.761,3169.728,-34.318,-1.0827,97294747.0,113844280.553
2016-03-30,399300.SZ,3216.275,3161.289,3216.676,3161.289,3135.41,80.865,2.5791,117802512.0,140721774.451
2016-03-31,399300.SZ,3218.088,3229.2,3241.927,3208.665,3216.275,1.813,0.0564,121552074.0,147267617.416
2016-04-01,399300.SZ,3221.895,3213.674,3222.612,3165.856,3218.088,3.807,0.1183,118122139.0,127050098.456
2016-04-05,399300.SZ,3264.486,3211.305,3271.93,3205.207,3221.895,42.591,1.3219,146047772.0,159296543.667
2016-04-06,399300.SZ,3257.528,3250.522,3267.64,3236.196,3264.486,-6.958,-0.2131,120196305.0,137206268.587
2016-04-07,399300.SZ,3209.29,3266.288,3270.82,3208.644,3257.528,-48.238,-1.4808,112409467.0,128273067.72
2016-04-08,399300.SZ,3185.726,3189.846,3197.774,3163.305,3209.29,-23.564,-0.7342,101005625.0,113920716.519
2016-04-11,399300.SZ,3230.096,3213.507,3251.572,3213.507,3185.726,44.37,1.3928,125212709.0,142759491.34
2016-04-12,399300.SZ,3218.45,3227.367,3232.264,3198.903,3230.096,-11.646,-0.3605,92869437.0,99086557.951
2016-04-13,399300.SZ,3261.383,3237.858,3296.523,3237.858,3218.45,42.933,1.334,195613866.0,200159601.29
2016-04-14,399300.SZ,3275.832,3277.098,3286.072,3252.05,3261.383,14.449,0.443,113157327.0,117989443.45
2016-04-15,399300.SZ,3272.205,3279.857,3282.985,3261.73,3275.832,-3.627,-0.1107,99807529.0,107963982.334
2016-04-18,399300.SZ,3228.453,3252.671,3252.671,3221.662,3272.205,-43.752,-1.3371,97090069.0,103956150.095
2016-04-19,399300.SZ,3238.303,3243.971,3250.725,3221.577,3228.453,9.85,0.3051,80871440.0,90976236.261
2016-04-20,399300.SZ,3181.026,3244.142,3248.422,3107.369,3238.303,-57.277,-1.7687,162207858.0,172324694.469
2016-04-21,399300.SZ,3160.603,3160.796,3198.557,3150.94,3181.026,-20.423,-0.642,104752651.0,110324379.038
2016-04-22,399300.SZ,3174.901,3142.561,3175.38,3137.993,3160.603,14.298,0.4524,77078492.0,82442921.903
